ID,ProductName,ProductCode,Description,LumenOutput,CircuitWattage
68,IMPR,IMPR65 123 L45 MP,"IMPR, Pull-Up, 1200x300, 2,592llm, IP65, Microprism, Colour 84",2592,24.2
69,IMPR,IMPR65 123 L55 MP,"IMPR, Pull-Up, 1200x300, 3,168llm, IP65, Microprism, Colour 84",3168,30.1
70,IMPR,IMPR65 123 L68 MP,"IMPR, Pull-Up, 1200x300, 3,917llm, IP65, Microprism, Colour 84",3917,36.7
71,IMPR,IMPR65 123 L76 MP,"IMPR, Pull-Up, 1200x300, 4,378llm, IP65, Microprism, Colour 84",4378,41
72,IMPR,IMPR65 126 L70 MP,"IMPR, Pull-Up, 1200x600, 4,634llm, IP65, Microprism, Colour 84",4634,38.1
73,IMPR,IMPR65 126 L90 MP,"IMPR, Pull-Up, 1200x600, 5,958llm, IP65, Microprism, Colour 84",5958,49
74,IMPR,IMPR65 126 L136 MP,"IMPR, Pull-Up, 1200x600, 9,009llm, IP65, Microprism, Colour 84",9009,76.8
75,IMPR,IMPR65 126 L152 MP,"IMPR, Pull-Up, 1200x600, 10,062llm, IP65, Microprism, Colour 84",10062,86.9
76,IMPR,IMPR65 L35,"IMPR, Pull-Up, 600x600, 2,474llm, IP65, Opal, Colour 84",2474,20.2
77,IMPR,IMPR65 L45,"IMPR, Pull-Up, 600x600, 3,180llm, IP65, Opal, Colour 84",3180,25.8
78,IMPR,IMPR65 L55,"IMPR, Pull-Up, 600x600, 3,886llm, IP65, Opal, Colour 84",3886,32.9
79,IMPR,IMPR65 L68,"IMPR, Pull-Up, 600x600, 4,757llm, IP65, Opal, Colour 84",4757,40.8
80,IMPR,IMPR65 L76,"IMPR, Pull-Up, 600x600, 5,316llm, IP65, Opal, Colour 84",5316,44.9
81,IMPR,IMPR65 123 L35,"IMPR, Pull-Up, 1200x300, 2,236llm, IP65, Opal, Colour 84",2236,19.8
82,IMPR,IMPR65 123 L45,"IMPR, Pull-Up, 1200x300, 2,868llm, IP65, Opal, Colour 84",2868,24.2
83,IMPR,IMPR65 123 L55,"IMPR, Pull-Up, 1200x300, 3,504llm, IP65, Opal, Colour 84",3504,30.1
84,IMPR,IMPR65 123 L68,"IMPR, Pull-Up, 1200x300, 3,917llm, IP65, Opal, Colour 84",3917,36.7
85,IMPR,IMPR65 123 L76,"IMPR, Pull-Up, 1200x300, 4,840llm, IP65, Opal, Colour 84",4840,41
86,IMPR,IMPR65 126 L70,"IMPR, Pull-Up, 1200x600, 5,364llm, IP65, Opal, Colour 84",5364,38.1
87,IMPR,IMPR65 126 L90,"IMPR, Pull-Up, 1200x600, 6,940llm, IP65, Opal, Colour 84",6940,49
88,IMPR,IMPR65 126 L136,"IMPR, Pull-Up, 1200x600, 10,392llm, IP65, Opal, Colour 84",10392,76.8
89,IMPR,IMPR65 126 L152,"IMPR, Pull-Up, 1200x600, 11,600llm, IP65, Opal, Colour 84",11600,86.9
90,IMPR,IMPR65 L35 MP,"IMPR, Pull-Up, 600x600, 2,125llm, IP65, Microprism, Colour 84",2125,20.2
91,IMPR,IMPR65 L45 MP,"IMPR, Pull-Up, 600x600, 2,732llm, IP65, Microprism, Colour 84",2732,25.8
92,IMPR,IMPR65 L55 MP,"IMPR, Pull-Up, 600x600, 3,339llm, IP65, Microprism, Colour 84",3339,32.9
93,IMPR,IMPR65 L68 MP,"IMPR, Pull-Up, 600x600, 4,128llm, IP65, Microprism, Colour 84",4128,40.8
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
